,power/energy-pkg/,power/energy-pkg/,instructions,cycles,cpu-clock,cpu-migrations,branches,branch-misses,context-switches,bus-cycles,cache-references,cache-misses,mem-loads,mem-stores,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,power/energy-pkg/,power/energy-cores/,power/energy-gpu/,runtime
,"///148104,16","148104,16",15468867064066,134425752297804,"31413859,51",327,4327706759170,422413607713,123907,752114326934,1839614259178,1720509725866,40,259453637142,259256223847,4446037617409,1255092319549,75336345010,699521907038,670589435382,1536861,1536861,"///148104,16","116212,2",0,45:11.75
,"///148104,57","148104,57",15469220182069,134461094191010,"31423921,68",369,4327618606181,422468772035,154971,752336615043,1840953460479,1721268151810,39,259097004761,259115944635,4447034604898,1255225125277,75274513466,699409920927,670290857067,1425949,1425949,"///148104,57","116204,24",0,45:13.02
,"///147954,45","147954,45",15469807326391,134553131266384,"31443642,72",294,4327404309292,422547238562,110785,752825018560,1842109347672,1721616346882,31,258794145603,258924077842,4445563758903,1255523600883,75376852109,699563814591,670354491350,1785392,1785392,"///147954,45","116037,99",0,45:14.53
,"///148578,12","148578,12",15475820425295,134389502184960,"31405911,25",892,4328753157339,422691617149,281778,751904999390,1842472019217,1722682927817,19,259553611568,259675281577,4445610114844,1255096277123,75615644942,699392203227,670356721264,1787494,1787494,"///148578,12","116642,97",0,45:16.13
,"///149139,53","149139,53",15465812324337,134496996201635,"31431330,43",480,4326620701683,422773875796,142139,752512599655,1841043638436,1722724149005,39,259771347844,259720143741,4447238764928,1255005573643,75455434281,699116737300,670408854733,1780783,1780783,"///149139,53","117199,25",0,45:15.50
,"///148546,59","148546,59",15469637856284,134550644401904,"31442565,83",311,4326861348438,422626282702,131774,752827640489,1842407444738,1722106733944,27,259089498261,258927262160,4446246960825,1255554753467,75691252073,699221886899,670061959377,1539672,1539672,"///148546,59","116635,34",0,45:14.36
,"///148243,74","148243,74",15470532039031,134538291336779,"31440757,77",321,4326726902505,422510027563,124929,752755863538,1842960610854,1723009636840,19,259041985530,259065255129,4446789698615,1255041867646,75473645041,699236580305,670292555300,1781488,1781488,"///148243,74","116322,96",0,45:14.37
,"///148037,16","148037,16",15473422980985,134508356064474,"31433142,19",316,4328437519197,422731442603,107910,752578061806,1840869930459,1721908426729,28,259028587748,259185889910,4445879982157,1255138287791,75546460334,699458905672,670545146398,1833621,1833621,"///148037,16","116129,57",0,45:13.18
,"///148378,12","148378,12",15473453315300,134350180560091,"31397270,18",1172,4327730604728,422695593599,159446,751694816954,1840706221461,1721821408172,15,259100696369,258827626671,4445194131283,1255315104333,75523535650,699502536800,670704691595,1781125,1781125,"///148378,12","116442,08",0,45:15.42
,"///149180,89","149180,89",15474985940949,134361949830706,"31397935,04",318,4327744751864,422694702857,111029,751745838596,1838934613103,1720156866641,35,259142574993,259279787821,4446122463625,1254545766387,75193740046,698895623726,669742706637,1779674,1779674,"///149180,89","117314,17",0,45:10.46
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26
Média,#DIV/0!,"148426,733","15471155945470,7",134463589833575,"31423033,66",480,"4327560466039,7","422615316057,9","144866,8","752329578096,5","1841207154559,7","1721780437370,6","29,2","259207308981,9","259197749333,3","4446171809748,7","1255153867609,9","75448742295,2","699332011648,5","670334741910,3","1703205,9","1703205,9",#DIV/0!,"116514,077",0,#DIV/0!
Erro padrão,#DIV/0!,"138,749431358595","993851474,762306","24589004320,1224","5738,01168141419","95,795847741144","220367388,538572","38758089,6131964","16243,7635457085","139076753,155793","409425792,265915","295909016,657841","2,90898989723619","92515650,8123776","95482406,3585787","211264218,617062","90686079,3078398","48951047,7589145","66889521,7835152","86985892,2081087","45487,1823255861","45487,1823255861",#DIV/0!,"139,214917751494",0,#DIV/0!
Modo,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,19,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,0,#VALOR!
Mediana,#VALOR!,"148310,93",15470169682711,134479045196323,"31427626,055",324,"4327662682675,5","422658949925,5","128351,5",752424607349,"1840998549457,5","1721864917450,5","29,5",259098850565,"259150917272,5",4446080040517,1255117282457,75464539661,699401062077,670355606307,1780954,1780954,#VALOR!,"116382,52",0,#VALOR!
