,power/energy-pkg/,power/energy-pkg/,instructions,cycles,cpu-clock,cpu-migrations,branches,branch-misses,context-switches,bus-cycles,cache-references,cache-misses,mem-loads,mem-stores,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,power/energy-pkg/,power/energy-cores/,power/energy-gpu/,runtime
,"///148635,51","148635,51",15581560596732,134645261736635,"31466578,14",602,4356068090771,422904659320,249621,753381451909,1843511573556,1723566767117,111,267756615412,267728366430,4477645828941,1256251273793,75431636190,699793802730,670819079710,2902970,2902970,"///148635,51","116715,95",0,45:13.70
,"///148132,21","148132,21",15578593203669,134653574636881,"31469622,43",490,4355017610089,422683187016,235701,753428596099,1843666784789,1723674318780,459,268591713252,268648179456,4480414483089,1256308658049,75484723077,699757111118,670673164287,2889901,2889901,"///148132,21","116218,96",0,45:13.54
,"///147950,42","147950,42",15579733950696,134672618358614,"31474008,03",529,4354132005829,422713543057,221333,753550808003,1844656719209,1724369635758,423,268582447670,268445136238,4479736828716,1256237834016,75516115933,699540945083,670489661251,2882286,2882286,"///147950,42","116038,67",0,45:13.73
,"///148305,37","148305,37",15582443449022,134753335712878,"31492107,82",521,4355610077759,422865690675,233590,753993532517,1844855794983,1724302765710,95,268050028951,268047865946,4479245219791,1256662695218,75724876716,699955137184,670892404426,2879493,2879493,"///148305,37","116368,68",0,45:15.54
,"///149049,73","149049,73",15584549256166,134601517960229,"31456800,07",650,4356093179366,422812038756,270466,753133625757,1844098042105,1723878510780,75,268211498969,268429439180,4478560083069,1256118482086,75259739678,699902838476,670928937804,2885932,2885932,"///149049,73","117127,36",0,45:13.80
,"///148694,46","148694,46",15587522938366,134654320436074,"31469706,95",556,4356653495090,422756530253,183395,753451580101,1843255628823,1723110997864,35,267964405085,267630017552,4477467990567,1255943332284,75473746906,699642358450,670532425671,2873512,2873512,"///148694,46","116783,36",0,45:13.49
,"///148392,53","148392,53",15581339706041,134674813803040,"31473948,52",487,4354633076874,422708879056,203221,753551002614,1844507562791,1724214767999,95,267633936431,267589548997,4478877617742,1256332663665,75624497400,699572610866,670612950583,2869568,2869568,"///148392,53","116480,11",0,45:13.38
,"///148193,46","148193,46",15581695477929,134590549125388,"31454409,47",494,4354909178276,422687264767,218376,753087964252,1843788182755,1723575099819,83,268044336787,268196392876,4479485520890,1256139530900,75509022991,699653230225,670536750006,2895676,2895676,"///148193,46","116300,62",0,45:11.95
,"///148123,35","148123,35",15587675760946,134633335801932,"31464731,72",736,4355945494143,422823395553,210945,753332848845,1843827727295,1723622517668,283,267492316099,267908086856,4479010863349,1256086087311,75421620322,699730599131,670674221965,2962935,2962935,"///148123,35","116205,89",0,45:13.78
,"///149238,65","149238,65",15580605125555,134585405793735,"31453483,63",517,4355684761368,422853366454,273580,753053508537,1843269729561,1723507877560,47,268228514124,268229140278,4478616484476,1256054634951,75423658271,699797586596,670670532818,2878297,2878297,"///149238,65","117334,71",0,45:12.35
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26
Média,#DIV/0!,"148471,569","15582571946512,2",134646473336541,"31467539,678","558,2","4355474696956,5","422780855490,7","230022,8","753396491863,4","1843943774586,7","1723782325905,5","170,6",268055581278,"268085217380,9",4478906092063,"1256213519227,3","75486963748,4","699734621985,9","670683012852,1",2892057,2892057,#DIV/0!,"116557,431",0,#DIV/0!
Erro padrão,#DIV/0!,"134,100775616698","974964095,406897","15659618258,9009","3635,72485432951","25,7637988917266","246039526,376048","25639798,0498475","9085,73341722554","87838997,5407268","179839589,139996","127569755,866874","49,9971554746423","116052898,721435","115999870,901288","284563874,739066","62894347,1149613","39441026,9737885","42662514,3348532","48250620,1051778","8492,07595219083","8492,07595219083",#DIV/0!,"134,162750654652",0,#DIV/0!
Modo,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,95,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,0,#VALOR!
Mediana,#VALOR!,"148348,95","15581628037330,5",134649418186758,"31468100,285",525,"4355647419563,5","422784284504,5","227461,5",753405024004,1843807955025,1723648418224,95,268047182869,268122129411,"4478944240545,5",1256188682458,"75479234991,5","699743855124,5","670671848552,5",2884109,2884109,#VALOR!,"116424,395",0,#VALOR!
Primeiro quartil,#VALOR!,"148147,5225","15580788770676,5",134609472420655,"31458782,9825","499,75","4354936286229,25","422710045056,25","212802,75",753183431529,"1843550376364,25","1723568850292,5",77,"267808562830,25","267773296536,5","4478574183420,75","1256094186004,75","75425652750,75","699645076393,75","670555800150,25",2878596,2878596,#VALOR!,"116239,375",0,#VALOR!
Terceiro quartil,#VALOR!,"148679,7225",15584022804380,134668043877979,"31472888,1275","590,5",4356037441614,"422845873728,75",246141,"753526001027,5","1844405182619,5","1724130703694,25",240,"268224260335,25","268379364454,5","4479425445615,25",1256294311985,"75514342697,5","699796640629,5","670782865273,75","2894232,25","2894232,25",#VALOR!,"116766,5075",0,#VALOR!
