,power/energy-pkg/,power/energy-pkg/,instructions,cycles,cpu-clock,cpu-migrations,branches,branch-misses,context-switches,bus-cycles,cache-references,cache-misses,mem-loads,mem-stores,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,power/energy-pkg/,power/energy-cores/,power/energy-gpu/,runtime
,"///148390,14","148390,14",15467969427255,134382782235570,"31402788,76",404,4326754828093,422539765044,147249,751878841679,1839457751996,1720203025360,23,259379746434,259094521873,4446245111257,1254872792066,75118442514,699555916357,670324251792,1755447,1755447,"///148390,14","116505,89",0,45:11.73
,"///148163,48","148163,48",15469000513877,134472884287620,"31424527,89",290,4327326612674,422613210388,109412,752386271926,1840885945846,1721398176882,27,258549974830,258583720264,4444976976548,1254858015304,75443896563,699174909014,670110681300,1264079,1264079,"///148163,48","116270,13",0,45:12.33
,"///147914,24","147914,24",15467271371074,134511326126196,"31434795,19",310,4327176083055,422516018826,128076,752598577487,1841235974122,1721832012659,32,258837080706,258565331043,4444211918146,1255092993992,75545122585,699527749248,670557365974,1286781,1286781,"///147914,24","116001,87",0,45:13.61
,"///147722,24","147722,24",15469415595009,134492548266968,"31429964,76",336,4327209783375,422638564836,109217,752484237203,1841090935916,1721612091031,31,259135873994,258900995106,4445344821020,1255444093647,75539422779,699317340027,670409089238,1768551,1768551,"///147722,24","115812,52",0,45:13.41
,"///148788,80","148788,8",15467195465098,134425744286769,"31414020,4",319,4327214178914,422674172563,114583,752115763170,1839642189474,1720192792310,31,259052108647,258849609089,4445503865298,1254712639711,75118278051,699276933083,670202633423,1772219,1772219,"///148788,80","116894,3",0,45:12.52
,"///148309,57","148309,57",15466322931138,134454659323607,"31420137,91",307,4327234917874,422586932091,118259,752265257674,1839338663084,1720358737732,23,259097322711,258845553405,4446056524146,1254735151219,75263623920,699168759169,670102696316,1391710,1391710,"///148309,57","116415,36",0,45:12.56
,"///148347,82","148347,82",15464572567476,134496526804753,"31430693,08",336,4326819032649,422535447857,121421,752527903176,1840351342498,1720842277117,35,259409358515,259162858605,4446277184774,1255279884729,75461079955,699640316049,670429926182,1774914,1774914,"///148347,82","116436,94",0,45:13.99
,"///147899,90","147899,9",15467536073945,134412764431240,"31411062,78",348,4326762945601,422648753231,138567,752046900327,1839627341897,1720222892348,35,258865423533,258547558836,4445363624824,1255032566782,75139418620,699195260555,670050074503,1402638,1402638,"///147899,90","116019,06",0,45:11.53
,"///147843,46","147843,46",15472853917912,134463467985077,"31422656,81",313,4328730036687,422595093820,112073,752329388333,1841027512817,1721697901083,12,258437643380,258472982715,4443734233764,1255054564143,75300735016,699361067131,670285966426,1396447,1396447,"///147843,46","115941,53",0,45:13.09
,"///148833,79","148833,79",15467678011951,134463677385250,"31422004,98",298,4328135728697,422547775622,125382,752331668907,1840745229073,1720423656904,12,259020191390,258697945147,4445013248924,1255302561346,75546959128,699487820108,670097280838,1772722,1772722,"///148833,79","116931,28",0,45:13.47
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26
Média,#DIV/0!,"148221,344","15467981587473,5",134457638113305,"31421265,256","326,1","4327336414761,9","422589573427,8","122423,9","752296480988,2","1840340288672,3","1720878356342,6","26,1",258978472414,"258772107608,3","4445272750870,1","1255038526293,9","75347697913,1","699370607074,1","670256996599,2","1558550,8","1558550,8",#DIV/0!,"116322,888",0,#DIV/0!
Erro padrão,#DIV/0!,"122,122751763226","688153202,487443","12718969670,8694","3091,17563476603","10,3724528332395","199526107,613264","17069585,253463","4011,49272701433","71554279,2780673","237524309,866007","216627015,730998","2,70575518314409","100090235,815936","75151278,112881","264212949,931718","78457581,7532542","57290230,8723979","54467618,7508523","54274923,808667","71507,5283837381","71507,5283837381",#DIV/0!,"122,735397273973",0,#DIV/0!
Modo,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,336,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,12,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,0,#VALOR!
Mediana,#VALOR!,"148236,525",15467607042948,134463572685164,"31422330,895",316,"4327211981144,5","422591012955,5",119840,752330528620,"1840548285785,5","1720632967010,5",29,"259036150018,5",258771749276,4445354222922,"1255043565462,5","75372315789,5",699339203579,"670244299924,5","1579042,5","1579042,5",#VALOR!,"116342,745",0,#VALOR!
Primeiro quartil,#VALOR!,"147903,485",15467214441592,134432973045979,"31415549,7775","307,75","4326908295250,5","422541767688,5","112700,5",752153136796,"1839631053791,25",1720256853694,23,"258844166412,75","258569928348,25",4444986044642,"1254861709494,5",75170469945,699215678687,670104692562,"1392894,25","1392894,25",#VALOR!,"116006,1675",0,#VALOR!
