,power/energy-pkg/,power/energy-pkg/,instructions,cycles,cpu-clock,cpu-migrations,branches,branch-misses,context-switches,bus-cycles,cache-references,cache-misses,mem-loads,mem-stores,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,power/energy-pkg/,power/energy-cores/,power/energy-gpu/,runtime
,"///15437,64","15437,64",6786686487289,10680988668265,"2654875,99",227,1125421385104,85102074970,12085,63509762872,139970855063,111674992051,63,1047483188658,1047005966323,1654300256369,73668742136,1507403106,40154238352,34232165486,770645,770645,"///15437,64","12610,05",0,4:06.64
,"///15411,72","15411,72",6784050425619,10650351000834,"2648348,29",245,1125847344257,85283426110,12046,63354250728,138965714793,111606117861,31,1045423780644,1045741697661,1653960154001,72986835628,1593483049,39890909562,34189164726,813978,813978,"///15411,72","12577,93",0,4:07.21
,"///15493,28","15493,28",6782709564723,10764611189078,"2674498,49",248,1125529323805,85488504838,12199,63979066545,142257570874,112193798012,23,1046681964611,1044626406869,1653430473837,74695900641,1488018277,41036478252,34321909015,825770,825770,"///15493,28","12649,12",0,4:08.19
,"///15554,04","15554,04",6779910820047,10751503068870,"2671251,48",249,1125650906384,85448441572,11995,63899876111,142005803877,112040808817,23,1047634224059,1046445545688,1654005907107,74973442996,1455690567,41008924876,34392383195,770311,770311,"///15554,04","12696,01",0,4:09.52
,"///15501,89","15501,89",6780698421625,10727816625903,"2665983,73",235,1124489194113,85441944710,11959,63776247905,141762918783,111958309349,155,1047881794162,1046645285247,1652350982417,74411634897,1423895097,40933983152,34357971438,764673,764673,"///15501,89","12663,49",0,4:07.63
,"///15469,55","15469,55",6789199797174,10739944428723,"2668360,08",248,1127038577745,85561868121,11530,63829153667,142075520592,111872585486,79,1046823564169,1046460588908,1654998156745,74832876229,1525956244,40947914425,34273651607,780695,780695,"///15469,55","12641,74",0,4:06.65
,"///15430,50","15430,5",6780685814714,10659124279444,"2648094,78",259,1125736008131,85003562625,12174,63346169115,139137153491,111728083815,31,1047440463427,1047772970463,1653883712624,72829075510,1485544324,39999268646,34337266133,813382,813382,"///15430,50","12590,36",0,4:07.83
,"///15514,77","15514,77",6792008387151,10721219978347,"2662361,57",241,1126758212102,85325452731,12020,63687634455,141517655995,112315332622,43,1043487140142,1043672327127,1651418556498,74455585506,1428868285,40450909348,34131380170,765492,765492,"///15514,77","12669,81",0,4:08.27
,"///15436,76","15436,76",6790152235485,10677356309790,"2653886,02",233,1127916704610,85691506674,11980,63484493242,139939858841,111927510504,83,1043983001479,1043599947869,1651732876939,73863654900,1551213958,40413429615,34352088352,811454,811454,"///15436,76","12602,12",0,4:07.28
,"///15482,52","15482,52",6777089872433,10690938336341,"2655290,07",248,1124765192609,85306109515,11781,63515574222,140244308426,112155853502,83,1045793986002,1047248472745,1654809559590,73399468537,1395901581,40282853119,34328825566,754962,754962,"///15482,52","12634,99",0,4:08.52
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26
Média,#DIV/0!,"15473,267",6784319182626,"10706385388559,5","2660295,05","243,3",1125915284886,"85365289186,6","11976,9","63638222886,2","140787736073,5","111947339201,9","61,4","1046263310735,3",1045921920890,"1653489063612,7",74011721698,"1485597448,8","40511890934,7","34291680568,8","787136,2","787136,2",#DIV/0!,"12633,562",0,#DIV/0!
Erro padrão,#DIV/0!,"14,0574616841023","1574956298,66745","12618847617,8892","3000,96414937972","2,97040962382856","330555025,098348","65400660,9696429","61,9362485858555","71778737,7434912","401551785,680734","74023676,6032937","12,9710789408163","490961047,040913","466808892,634631","394317406,050427","244669964,643646","19442267,757514","138752356,084635","26379486,2216844","8231,39796929348","8231,39796929348",#DIV/0!,"11,98289121113",0,#DIV/0!
Modo,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,248,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,23,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,0,#VALOR!
Mediana,#VALOR!,"15476,035",6783379995171,10706079157344,"2658825,82","246,5","1125693457257,5","85383698720,5","12007,5","63601604338,5","140880982210,5","111942909926,5",53,1046752764390,1046453067298,"1653921933312,5","74137644898,5","1486781300,5","40432169481,5","34325367290,5",775670,775670,#VALOR!,"12638,365",0,#VALOR!
Primeiro quartil,#VALOR!,"15436,98","6780688966441,75","10678264399408,8","2654133,5125","236,5","1125448369779,25","85289096961,25","11964,25","63490810649,5","139947607896,5","111764209232,75",31,"1045516331983,5",1044905229567,1652620855272,"73466786936,75","1435573855,5","40186392043,75","34242537016,25","766696,75","766696,75",#VALOR!,"12604,1025",0,#VALOR!
Terceiro quartil,#VALOR!,"15499,7375","6788571469702,75",10736912478018,"2667765,9925",248,"1126530495140,75","85478489021,5","12075,25","63815927226,5","141945082603,5","112127092330,75",82,"1047472507350,25",1046915796054,"1654226669053,5","74635821857,25","1521317959,5","40944431606,75","34348382797,25",812900,812900,#VALOR!,"12659,8975",0,#VALOR!
Variância,#DIV/0!,"1976,12229000003","2,48048734271227E+019","1,59235315203508E+021","90057858,2586233","88,2333333333334","1,0926662461777E+018","4,27724645526617E+016","38360,9888888889","5,15218719204889E+016","1,61243836583386E+018","5,47950469786901E+016","1682,48888888889","2,4104274971151E+018","2,1791054224277E+018","1,55486216714337E+018","5,98633915987229E+017",3780017755548679,"1,92522163190375E+017",6958772933200371,"677559125,288889","677559125,288889",#DIV/0!,"1435,89681777777",0,#DIV/0!
