,power/energy-pkg/,power/energy-pkg/,instructions,cycles,cpu-clock,cpu-migrations,branches,branch-misses,context-switches,bus-cycles,cache-references,cache-misses,mem-loads,mem-stores,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,power/energy-pkg/,power/energy-cores/,power/energy-gpu/,runtime
,"///12303,39","12303,39",3560653817596,8913204144084,"2118323,48",247,643765234332,50687603500,11714,50664476579,119294684080,96149346912,47,564834827525,566163208945,806948481879,76026323563,1718419151,43173162500,37508913395,837196,837196,"///12303,39","9954,09",0,3:20.58
,"///12061,26","12061,26",3566202003660,8789009875059,"2091239,34",274,645829396605,50848328374,11447,50018028593,115608019151,94224753742,23,563435253547,562968259224,802966620684,75099323754,1739668231,42488153698,37499819880,878201,878201,"///12061,26","9785,62",0,3:13.63
,"///12071,12","12071,12",3539591473532,8784567301645,"2089158,68",274,641075855416,50682903477,10610,49966231780,115882375699,94036826749,35,566138780363,566711513854,808844256781,75034330384,1676475471,42578162865,37600527662,827853,827853,"///12071,12","9793,43",0,3:13.82
,"///12273,35","12273,35",3569635697411,8888462812920,"2112073,84",217,645937764026,51062650640,10809,50520259982,118550810781,95752682389,87,561382900702,560522555126,801653086206,75735322443,1706533605,43003058997,37447528444,842345,842345,"///12273,35","9929,83",0,3:20.03
,"///12217,66","12217,66",3564569169409,8898306771851,"2114268,65",240,644522518339,50992969161,11569,50575092898,118056433108,95284916872,39,564279944716,563546740444,804936968415,75706208383,1655400680,43074885584,37588545964,854079,854079,"///12217,66","9889,42",0,3:18.59
,"///12171,50","12171,5",3560018911747,8852515330860,"2103885,15",250,644473307155,50812069821,11013,50320352653,117376449616,95009420817,92,564297617491,563371770768,803555141493,75462582541,1693468928,42823312111,37566396924,840086,840086,"///12171,50","9854,12",0,3:17.58
,"///12160,72","12160,72",3562013838776,8891054951679,"2112619,8",265,643819850116,51024157548,11713,50531649639,117629388544,95170642926,63,564943093914,563609132984,803054192761,75770366162,1679394267,43019392635,37569390994,868585,868585,"///12160,72","9857,62",0,3:16.18
,"///12205,09","12205,09",3561061211808,8903860470451,"2116188,11",240,642185045255,50771229865,11156,50611504320,118401126879,95599856352,71,566418194066,565787977379,804426289827,75837433710,1678328866,42800340905,37312602396,839872,839872,"///12205,09","9884,44",0,3:17.86
,"///12270,49","12270,49",3561755859534,8906722075951,"2111555,21",240,641133247914,50646974672,10473,50510394688,121976163075,97309646473,79,563917094812,566499314151,809371847039,76265570334,1661163797,43622877200,37402341079,840034,840034,"///12270,49","9951,97",0,3:17.62
,"///12111,77","12111,77",3559650986901,8724682110680,"2071351,12",232,643967393274,50834357275,11645,49542984362,114714993654,93383976597,39,563831875143,563743261283,805615735589,74664656665,1639412178,42466239244,37607641362,849313,849313,"///12111,77","9798,43",0,3:17.32
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26
Média,#DIV/0!,"12184,635","3560515297037,4",8855238584518,"2104066,338","247,9","643670961243,2","50836324433,3","11214,9","50326097549,4","117749044458,7","95192206982,9","57,5","564347958227,9","564292373415,8","805137262067,4","75560211793,9","1684826517,4","42904958573,9",37510370810,"847756,4","847756,4",#DIV/0!,"9869,897",0,#DIV/0!
Erro padrão,#DIV/0!,"26,8770967037405","2527308340,63361","20829801086,7714","4835,91206092173","5,82609074194123","544340409,189802","46847885,3804062","148,576762801067","115930119,998965","656989028,339317","356884899,408467","7,62051325188942","449294379,74021","620002799,073601","812554419,200963","155931108,241301","9610007,95263789","112028861,742462","30762325,0862382","4854,19339036993","4854,19339036993",#DIV/0!,"20,1290378447543",0,#DIV/0!
