,power/energy-pkg/,power/energy-pkg/,instructions,cycles,cpu-clock,cpu-migrations,branches,branch-misses,context-switches,bus-cycles,cache-references,cache-misses,mem-loads,mem-stores,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,power/energy-pkg/,power/energy-cores/,power/energy-gpu/,runtime
,"///28008,49","28008,49",3106967742985,22442460526157,"5244812,88",631,837891759901,62973330022,103241,125549064084,308978349258,286616505924,243,104223983720,104493268960,860193823785,210154642155,13104691965,115129264831,109841348790,3258477,3258477,"///28008,49","22549,5",0,7:45.09
,"///27961,15","27961,15",3099404332776,22444743235855,"5245763,05",491,839236570182,63184204079,93510,125570911806,308229718848,285975374010,1551,104658291384,103932442280,853383527268,209845101604,13113918881,114967334435,109697107232,3207138,3207138,"///27961,15","22503,59",0,7:45.01
,"///27956,49","27956,49",3090875894396,22500875946676,"5258505,39",469,837169850575,62963544135,117002,125886021467,308827124802,286223510262,119,105403017612,104677610927,856316302914,209990980101,13062001654,115169144414,109843701713,3280664,3280664,"///27956,49","22498,92",0,7:44.93
,"///27938,83","27938,83",3097020559918,22507199964307,"5260093,69",519,836958195166,62935647842,118061,125920741273,308243384170,286213957736,535,105137300760,105291488454,858030365721,210310366894,13139764528,115628687345,110396950079,3262566,3262566,"///27938,83","22487,02",0,7:44.39
,"///27924,59","27924,59",3093037968420,22468492352258,"5251008,9",417,836456312075,62993915411,132646,125695515259,309516909571,287035941097,819,105438733344,105608602873,859714244878,210086299921,12996561540,115064020807,109778009290,3295921,3295921,"///27924,59","22456,24",0,7:46.00
,"///27818,82","27818,82",3103012770402,22443230353611,"5244656,31",458,839093206744,62967858678,92817,125551928375,309499624950,286810519780,859,104651093626,104551489353,856232086676,210063613012,13055196639,114601518378,109311138765,3265198,3265198,"///27818,82","22363,25",0,7:44.91
,"///27791,92","27791,92",3104611080176,22424834835266,"5240754,4",417,839594140567,62784157545,92774,125456193196,309691005810,287207676723,131,104668009625,104911565134,857157642763,210028233903,12878363578,114656513310,109364831380,3291926,3291926,"///27791,92","22333,69",0,7:45.18
,"///27845,81","27845,81",3092382538070,22470256138734,"5251317,37",430,837972357332,62991299430,93172,125711171935,309033935301,286383477781,83,104973061966,104925667132,858063811835,210169811794,13034603675,115200264342,109834027128,3213629,3213629,"///27845,81","22388,39",0,7:44.98
,"///27809,87","27809,87",3090251495533,22460859436023,"5248910,91",416,835792857673,62945023774,92973,125647761568,309048612211,286452775573,939,105322418353,105379935232,858587709154,209989156805,12952805597,114789357511,109457465620,3342240,3342240,"///27809,87","22354,22",0,7:44.85
,"///27799,58","27799,58",3092809342968,22458665000371,"5248974,51",439,835595882140,62992592960,94296,125650205684,309181771123,286586079582,131,105795487819,106129041483,861720563149,210068745085,13065792322,115105035152,109754474209,3280972,3280972,"///27799,58","22335,87",0,7:45.63
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26
Média,#DIV/0!,"27885,555","3097037372564,4","22462161778925,8","5249479,741","468,7","837576113235,5","62973157387,6","103049,2","125663951464,7","309025043604,4","286550581846,8",541,"105027139820,9","104990111182,8","857940007814,3","210070695127,4","13040370037,9","115031114052,5","109727905420,6","3269873,1","3269873,1",#DIV/0!,"22427,069",0,#DIV/0!
Erro padrão,#DIV/0!,"25,4169688834494","1934575344,03058","8225966943,86469","1930,46549845567","21,0781877778902","450800631,205894","30499253,9331467","4561,94830405704","46726313,7750886","157082725,990299","121525789,920925","155,270373506632","151099502,786882","199676654,94537","744537391,787141","39484120,3220382","25083441,7544481","94770543,0443777","98205027,4625376","12447,9510741059","12447,9510741059",#DIV/0!,"25,4657178902671",0,#DIV/0!
Modo,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,417,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,131,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,0,#VALOR!
Mediana,#VALOR!,"27885,2",3095029264169,22459762218197,"5248942,71","448,5",837530805238,62970594350,93903,125648983626,309041273756,"286519427577,5",389,105055181363,104918616133,858047088778,"210066179048,5","13058599146,5","115084527979,5","109766241749,5",3272931,3272931,#VALOR!,"22422,315",0,#VALOR!
Primeiro quartil,#VALOR!,"27812,1075","3092489239294,5",22443608574172,"5245050,4225","420,25","836581782847,75","62949653864,25","93022,75","125556674232,75",308864930916,"286263502141,75",131,"104660720944,25","104583019746,5","856526637876,25","210000293551,5","13006072073,75",114833851742,109517376023,"3259499,25","3259499,25",#VALOR!,"22356,4775",0,#VALOR!
Terceiro quartil,#VALOR!,"27952,075","3102110660995,5",22469815192115,"5251240,2525","485,5",838812994391,"62992269577,5","113561,75",125707257766,"309420161493,25",286762016316,849,"105382867797,25","105357823537,5",859432610947,"210137556596,5","13094967054,25","115159174518,25","109839518374,5","3289187,5","3289187,5",#VALOR!,"22495,945",0,#VALOR!
Variância,#DIV/0!,"6460,22307222235","3,74258176173103E+019","6,76665321615546E+020","37266970,4072771","4442,9","2,03221209095633E+018","9,30204490478564E+015","208113723,288889","2,18334839900803E+016","2,46749828045433E+017","1,47685176159048E+017","241088,888888889","2,28310597424431E+017","3,98707665301725E+017","5,54335927769199E+018","1,55899575760519E+016",6291790502487917,"8,98145582892625E+016","9,64422741891777E+016","1549514859,43333","1549514859,43333",#DIV/0!,"6485,02787666669",0,#DIV/0!
Desvio padrão,#DIV/0!,"80,3755128893269","6117664392,34045","26012791499,8669","6104,66791949219","66,6550823268564","1425556765,2522","96447109,3645924","14426,1472087626","147761578,192981","496739195,197473","384298290,601256","491,008033426021","477818582,125508","631433025,190895","2354433961,20851","124859751,625782","79320807,5002261","299690771,111261","310551564,461005","39363,877596514","39363,877596514",#DIV/0!,"80,5296707845418",0,#DIV/0!
