,power/energy-pkg/,power/energy-pkg/,instructions,cycles,cpu-clock,cpu-migrations,branches,branch-misses,context-switches,bus-cycles,cache-references,cache-misses,mem-loads,mem-stores,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,power/energy-pkg/,power/energy-cores/,power/energy-gpu/,runtime
,"///27871,21","27871,21",2999169057070,22292623027237,"5208890,48",261,813355748975,62780272138,21232,124692525840,306276780513,283966482768,47,100058808829,99400221868,830742942901,208755811285,12845320499,114631574058,109353243273,1332793,1332793,"///27871,21","22394,54",0,7:47.27
,"///27917,02","27917,02",2997402651987,22339608425945,"5219761,35",344,812221129594,62969089819,43168,124960346178,306558145847,284266115110,55,99137179699,98637971187,829551258794,208803198068,12783282864,114752044945,109446081099,1323845,1323845,"///27917,02","22430,6",0,7:48.11
,"///27809,10","27809,1",3002177199760,22291276819653,"5208665,56",250,814615321177,62770901464,42217,124690483788,305386644716,283567572364,35,97912723009,98071297262,830026338964,208516674943,12889702827,114788108464,109713736339,1307834,1307834,"///27809,10","22346,18",0,7:45.92
,"///27763,97","27763,97",2988764580363,22307183437664,"5212374,69",271,810710976069,62923772106,41752,124780151307,305822287304,284037310970,51,100128351677,100169615839,832875868994,208557464739,12675018204,114773366224,109657543191,1296770,1296770,"///27763,97","22305,25",0,7:45.51
,"///27773,41","27773,41",2999935395097,22315706090399,"5214267,46",291,812678925474,62770860163,61208,124822741268,307167966354,284566040074,71,98722010196,98686617550,830957328803,208816945257,12818286365,114673129218,109291952969,1299935,1299935,"///27773,41","22300,23",0,7:46.91
,"///27754,31","27754,31",3001243201409,22309960476513,"5213139,16",265,812482228561,62764881402,20314,124795402129,305833558989,283830711394,55,99439883428,99999334541,833564389577,208456158179,12894356572,114604371998,109496681689,1329671,1329671,"///27754,31","22281,68",0,7:46.86
,"///27750,22","27750,22",2992545829018,22287859324090,"5207812,8",285,810482135953,63078940947,62169,124667514380,304867289635,283520372904,71,99536185455,99514335199,831673167749,208578501229,12859596353,115126678056,110142500047,1338298,1338298,"///27750,22","22287,86",0,7:45.85
,"///27730,50","27730,5",3001527943627,22323879565644,"5216104,27",251,813671013173,62938837395,21704,124865902229,306501098680,284204107365,47,99179380593,99222670508,830709909818,208536788843,12798363544,114945748575,109755241524,1360428,1360428,"///27730,50","22257,91",0,7:46.82
,"///27738,71","27738,71",2994602146983,22333109694288,"5218423,18",277,812195816245,62891128921,23474,124924660549,305981783864,283803642526,39,99565348033,99249630173,830903182638,208642758682,12862921797,115083944270,109916123805,1355042,1355042,"///27738,71","22267,49",0,7:46.69
,"///27742,62","27742,62",2997986137719,22290847298868,"5208456,19",269,812350174448,62902080640,20530,124685125967,306726438189,284373514204,47,98620036344,99420419811,832678170201,208644602801,12815957106,114556779497,109237242575,1344606,1344606,"///27742,62","22271,24",0,7:46.76
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26
Média,#DIV/0!,"27785,107","2997535414303,3","22309205416030,1","5212789,514","276,4","812476346966,9","62879076499,5","35776,8","124788485363,5","306112199409,1","284013586967,9","51,8","99229990726,3","99237211393,8","831368255843,9","208630890402,6","12824280613,1","114793574530,5","109601034651,1","1328922,2","1328922,2",#DIV/0!,"22314,298",0,#DIV/0!
Erro padrão,#DIV/0!,"19,7426025555565","1375625790,02827","5913348150,01442","1372,61224863488","8,59612315717576","395390431,865998","33417750,474989","5278,48891634718","33248832,8200954","214062779,315623","108387753,092947","3,76179626124424","213976234,543471","200252865,581131","411184694,306774","39554186,6680491","20306187,868332","62646553,2200582","91670755,4821638","6967,22665660049","6967,22665660049",#DIV/0!,"18,3329270136791",0,#DIV/0!
Modo,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,47,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,0,#VALOR!
Mediana,#VALOR!,"27759,14","2998577597394,5","22308571957088,5","5212756,925",270,"812416201504,5","62896604780,5",32613,124787776718,"306129282188,5",284001896869,49,"99309632010,5","99324926020,5","830930255720,5","208610629955,5",12831803432,"114762705584,5",109577112440,1331232,1331232,#VALOR!,"22294,045",0,#VALOR!
Primeiro quartil,#VALOR!,"27744,52",2995302273234,22291613371549,"5208721,79",262,"812202144582,25","62773244132,5",21350,124690994301,"305825105225,25",283810409743,47,"98825802571,75","98820630789,5","830718168088,75",208541957817,"12802761934,5",114641962848,"109376452729,5","1311836,75","1311836,75",#VALOR!,"22273,85",0,#VALOR!
Terceiro quartil,#VALOR!,"27800,1775",3000916249831,"22321836196832,7","5215645,0675",283,"813186543099,75","62935071072,75","42930,25","124855111988,75","306543884055,25","284250613173,75",55,"99558057388,5",99490856352,832426919588,208728009164,12862090436,"114906338547,25","109744865227,75",1343029,1343029,#VALOR!,"22335,9475",0,#VALOR!
Variância,#DIV/0!,"3897,70355666665","1,89234631419091E+019","3,4967686343279E+020","18840643,8510251","738,933333333333","1,5633359361118E+018","1,11674604680862E+016","278624452,4","1,10548488389866E+016","4,5822873488329E+017","1,17479050205376E+017","141,511111111111","4,57858289494025E+017","4,01012101734544E+017","1,69072852832155E+018","1,56453368297087E+016","4,12341265743995E+015","3,92459063035359E+016","8,40352741067066E+016","485422472,844444","485422472,844444",#DIV/0!,"3360,96212888883",0,#DIV/0!
