,power/energy-pkg/,power/energy-pkg/,instructions,cycles,cpu-clock,cpu-migrations,branches,branch-misses,context-switches,bus-cycles,cache-references,cache-misses,mem-loads,mem-stores,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,power/energy-pkg/,power/energy-cores/,power/energy-gpu/,runtime
,"///27973,85","27973,85",3102050102495,22455155209711,"5247736,78",556,838187898782,62933165061,92410,125623453059,310056923836,287210573854,131,105092402200,105448892643,860221091787,210033273697,12959425150,115032474104,109682884989,3207603,3207603,"///27973,85","22510,44",0,7:45.54
,"///27931,69","27931,69",3102190873695,22455481484327,"5248509,76",458,839484149021,62884372286,113755,125639795921,309334156584,286785673411,1339,104841031961,104614556423,855462873501,210113510912,13073602071,114712653475,109388587855,3185163,3185163,"///27931,69","22470,71",0,7:45.34
,"///27878,71","27878,71",3100978491308,22457411583207,"5248434,23",481,840018557482,62959930684,121506,125641345068,309317634036,286586939264,63,106447602507,105622737858,856661552177,210059288679,13070231084,114707778442,109339128259,3193861,3193861,"///27878,71","22421,66",0,7:44.99
,"///27917,80","27917,8",3092854787849,22482837403243,"5254684,2",532,835948876954,62998232498,114774,125788924550,309407345355,286512199330,67,106036928542,105858037752,859435921853,210424418327,13065466130,115322886170,109949282342,3224913,3224913,"///27917,80","22449,13",0,7:46.02
,"///27908,26","27908,26",3092090008493,22471877230899,"5251794,52",434,836581638613,62962798885,123202,125717164036,309060717168,286093051850,323,106551857934,106875212746,860840447712,209947899646,13015411092,115393883313,109997833210,3214956,3214956,"///27908,26","22440,21",0,7:45.95
,"///27850,61","27850,61",3101866119635,22471338596792,"5251220,81",503,840109995724,63074261822,94197,125704804858,309392938793,286460720333,487,105395816392,105740039828,859194703884,209908748308,12917572714,115039903211,109567009049,3195359,3195359,"///27850,61","22393,19",0,7:45.01
,"///27860,73","27860,73",3101861414025,22434757912122,"5243153,69",433,838203157961,63059017093,98741,125509986809,309144420687,286653339301,99,104757547251,104896567425,857389450262,209946935815,13057463619,114711203137,109545289350,3164804,3164804,"///27860,73","22403,59",0,7:45.01
,"///27835,94","27835,94",3102552013446,22455048805369,"5247769,71",472,838000019600,62990124819,94340,125623477773,309072144015,286287913352,519,106195492096,106047303885,859313752975,210070656756,13012591711,115023474089,109635752619,3174645,3174645,"///27835,94","22371,26",0,7:45.71
,"///27810,51","27810,51",3102453028743,22453126464310,"5246900,24",431,837448838627,62826109287,94339,125604337886,309576880541,286750368035,67,105856103862,105733689068,857760465957,210058308936,13056378030,114897772649,109540726081,3192689,3192689,"///27810,51","22347,32",0,7:45.62
,"///27787,81","27787,81",3094898297855,22457524083781,"5248309,56",498,836993197204,62987072688,93487,125630567290,308963485988,286299327705,131,106574202397,106699514243,859875095202,209730640340,12828815176,114763552751,109447259320,3181122,3181122,"///27787,81","22337,41",0,7:44.40
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26
Média,#DIV/0!,"27875,591","3099379513754,4","22459455877376,1","5248851,35","479,8","838097632996,8","62967508512,3","104075,1",125648385725,"309332664700,3","286564010643,5","322,6","105774898514,2","105753655187,1",858615535531,"210029368141,6","13005695677,7","114960558134,1","109609375307,4","3193511,5","3193511,5",#DIV/0!,"22414,492",0,#DIV/0!
Erro padrão,#DIV/0!,"18,2630964546296","1354978620,67819","4155131425,47922","986,381207420965","13,5841410802777","450270254,306538","23516603,3137783","4002,24550984958","23674201,653021","100398439,754878","99546473,4379924","125,615922557612","222706860,39985","220917656,725137","543673419,670424","56156241,7552335","25589168,5773961","79215853,2838381","69218860,2965673","5823,29193698318","5823,29193698318",#DIV/0!,"17,3763619642062",0,#DIV/0!
Modo,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,67,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,0,#VALOR!
Mediana,#VALOR!,"27869,72",3101863766830,22456446533767,"5248371,895","476,5",838093959191,"62974935786,5","96540,5","125635181605,5",309325895310,286549569297,131,105946516202,105736864448,"859254228429,5","210045791316,5",13035894561,114960623369,"109556149199,5",3193275,3193275,#VALOR!,"22412,625",0,#VALOR!
Primeiro quartil,#VALOR!,"27839,6075","3096418346218,25","22455075406454,5","5247745,0125",440,"837107107559,75","62939856466,75","94232,5","125623459237,5",309090213183,286339675862,75,105168255748,"105492353946,75","857482204185,75","209947176772,75","12972716790,25",114725378294,"109470626010,25","3182132,25","3182132,25",#VALOR!,"22376,7425",0,#VALOR!
Terceiro quartil,#VALOR!,"27915,415",3102155680895,"22467884968539,3","5250543,0475","501,75",839163901256,"62996205578,25","114519,25","125688939910,5","309403743714,5","286726110851,5",446,"106384574904,25","105999987351,75","859765301864,75","210067814736,75","13063465502,25","115038045934,25","109671101896,5",3204542,3204542,#VALOR!,"22446,9",0,#VALOR!
Variância,#DIV/0!,"3335,40692111105","1,83596706249498E+019","1,7265117163005E+020","9729478,86353242","1845,28888888889","2,02743301913274E+018",5530306314176100,"160179691,211111",5604678239079018,"1,00798467052138E+017","9,90950037394093E+016","157793,6","4,95983456691582E+017","4,88046110529254E+017","2,95580787256133E+018","3,15352348807223E+016",6548055484823948,"6,27515141148657E+016","4,7912506207557E+016","339107289,833333","339107289,833333",#DIV/0!,"3019,3795511111",0,#DIV/0!
Desvio padrão,#DIV/0!,"57,7529819239756","4284818622,17641","13139679281,8565","3119,21125663723","42,9568258707378","1423879566,2319","74366029,3022029","12656,2115663065","74864399,0096696","317487743,15261","314793589,101508","397,232425665378","704260929,408683","698602970,598647","1719246309,45113","177581628,78159","80920056,1345823","250502523,170657","218889255,578151","18414,8660009606","18414,8660009606",#DIV/0!,"54,9488812544087",0,#DIV/0!
Curtose,#DIV/0!,"-0,657731718311399","-0,826172617207963","0,912786154287399","1,04534596333667","-0,709061135232622","-1,0485484428129","0,300710404543843","-1,72424831715414","1,17846670716411","2,29109797553098","0,961165235070452","5,19529640679591","-1,60414400549593","-0,103730862095803","-0,576367578610848","2,83204991981662","1,30532815299269","-0,691005298388121","-0,099692523249831","-0,434199292851353","-0,434199292851353",#DIV/0!,"-0,604766963197607",#DIV/0!,#DIV/0!
Inclinação,#DIV/0!,"0,145687405027101","-1,09129410717164","0,049845445080156","0,191889685188175","0,486362549379007","0,138480212695986","-0,476788411346631","0,595332903279673","0,167743884580249","1,3034128268544","0,637085439653102","2,1845519637025","-0,343041397274247","0,059172135849752","-0,629325228653006","0,814890503293091","-1,37659670964662","0,665030597421828","0,832763918860167","0,239575492680533","0,239575492680533",#DIV/0!,"0,223571026067769",Erro:502,#DIV/0!
Intervalo,0,"186,039999999997",10462004953,48079491121,"11530,5099999998",125,4161118770,248152535,30792,278937741,1093437848,1117522004,1276,1816655146,2260656323,5377574211,693777987,244786895,686104871,658704951,60109,60109,0,"173,029999999999",0,0
Mínimo,0,"27787,81",3092090008493,22434757912122,"5243153,69",431,835948876954,62826109287,92410,125509986809,308963485988,286093051850,63,104757547251,104614556423,855462873501,209730640340,12828815176,114707778442,109339128259,3164804,3164804,0,"22337,41",0,0
Máximo,0,"27973,85",3102552013446,22482837403243,"5254684,2",556,840109995724,63074261822,123202,125788924550,310056923836,287210573854,1339,106574202397,106875212746,860840447712,210424418327,13073602071,115393883313,109997833210,3224913,3224913,0,"22510,44",0,0
Soma,0,"278755,91",30993795137544,224594558773761,"52488513,5",4798,8380976329968,629675085123,1040751,1256483857250,3093326647003,2865640106435,3226,1057748985142,1057536551871,8586155355310,2100293681416,130056956777,1149605581341,1096093753074,31935115,31935115,0,"224144,92",0,0
Contagem,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0
