,power/energy-pkg/,power/energy-pkg/,instructions,cycles,cpu-clock,cpu-migrations,branches,branch-misses,context-switches,bus-cycles,cache-references,cache-misses,mem-loads,mem-stores,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,power/energy-pkg/,power/energy-cores/,power/energy-gpu/,runtime
,"///27814,42","27814,42",2999268281726,22305125743259,"5211721,59",285,811726768814,62748551576,21447,124767702950,306542296754,284281771023,35,98127027121,98068650312,830679577623,208897714562,12861105706,114518517705,109299344506,1247190,1247190,"///27814,42","22341,2",0,7:46.91
,"///27867,23","27867,23",2996168176089,22329067594244,"5217177,12",263,811713892737,62800410772,20517,124899186327,306727810703,284472732133,43,97874671574,98218414032,829731765077,209126121242,12957959949,114814740650,109584195120,1287862,1287862,"///27867,23","22393,49",0,7:46.89
,"///27824,57","27824,57",2996036857518,22323831825753,"5215986,17",275,811277724663,62945311815,114695,124864800015,306726406600,284353066422,51,97832723283,98150319885,831685607749,208662733659,12792400798,114589498030,109373028874,1222501,1222501,"///27824,57","22351,4",0,7:46.90
,"///27798,46","27798,46",3004017801594,22319350152672,"5214814,22",260,813960902516,62780051436,42753,124843099341,306827629864,284273518481,47,97563162023,97591952145,828936838788,209168998273,13015149717,114463782485,109170021832,1349962,1349962,"///27798,46","22317,53",0,7:47.65
,"///27790,12","27790,12",2995562154814,22329655603036,"5217700,62",272,811632030724,62739097926,41436,124910573035,306557108890,284329854251,43,99479476759,99351214350,830998824685,208738171425,12767437644,114703005451,109548246230,1161374,1161374,"///27790,12","22311,29",0,7:47.43
,"///27766,74","27766,74",3000879632501,22329858844945,"5217284,89",269,814029028546,62755798937,40176,124902293196,306667907547,284243773161,39,98312801925,98114659469,828101533320,208868476681,12968368535,114572160354,109288995738,1307999,1307999,"///27766,74","22290,06",0,7:47.27
,"///27689,45","27689,45",2997521851703,22328600842706,"5217047,24",262,812779825713,62649500652,20750,124894003432,307096354089,284782753042,55,98439756810,98261069350,829463438326,209102322432,12952395574,114343257297,109126618234,1305828,1305828,"///27689,45","22217,61",0,7:46.80
,"///27716,84","27716,84",3000537987344,22325681342638,"5216672,3",271,814124042696,62897876228,20982,124881159578,306008169995,283861737116,75,99269359984,98570603897,828518820224,208787921319,12833445980,114806021029,109568055951,1311599,1311599,"///27716,84","22247,89",0,7:46.49
,"///27734,32","27734,32",2993167745304,22342621532730,"5220350,86",253,812121445932,62852298660,20371,124971938621,307099444422,284351721470,107,99523608778,98941725154,831074787163,208754546192,12799932770,114683212308,109166730623,1305979,1305979,"///27734,32","22254,27",0,7:47.61
,"///27718,65","27718,65",3002261770588,22328780198625,"5217474,56",257,813186953996,62788198081,20130,124901636064,305470661081,283936704968,51,97579239061,98040519659,830666616695,208455389689,12796484961,114594719142,109503883827,1293546,1293546,"///27718,65","22254,31",0,7:46.09
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26
Média,#DIV/0!,"27772,08","2998542225918,1","22326257368060,8","5216622,957","266,7","812655261633,7","62795709608,3","36325,7","124883639255,9","306572378994,5","284288763206,7","54,6","98400182731,8","98330912825,3",829985780965,"208856239547,4","12874468163,4","114608891445,1","109362912093,5",1279384,1279384,#DIV/0!,"22297,905",0,#DIV/0!
Erro padrão,#DIV/0!,"17,89196492532","1077603536,55645","3004679115,14664","702,471623773392","3,01496268633627","350004881,701122","26821124,4925886","9243,72024920462","16662988,2636629","156622772,852379","81394739,4998768","6,78429559104456","241269113,360012","158732648,386053","382774997,228586","71504078,9903342","28546453,947261","46824336,0741766","56411915,3400847","17228,9761893542","17228,9761893542",#DIV/0!,"17,401095639196",0,#DIV/0!
Modo,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,43,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,0,#VALOR!
Mediana,#VALOR!,"27778,43","2998395066714,5","22328690520665,5","5217112,18",266,"812450635822,5","62784124758,5","21214,5","124896594879,5","306697157073,5",284305812637,49,98219914523,"98184366958,5",830199190886,208828199000,12847275843,114592108586,109336186690,1299687,1299687,#VALOR!,"22300,675",0,#VALOR!
Primeiro quartil,#VALOR!,"27722,5675","2996069687160,75","22324294204974,2","5216157,7025","260,5","811717111756,25","62750363416,25","20575,25","124868889905,75",306545999788,284251209491,43,"97843210355,75","98080152601,25","829068488672,5","208742265116,75","12797346913,25","114531928367,25","109199765308,5",1257358,1257358,#VALOR!,"22254,28",0,#VALOR!
Terceiro quartil,#VALOR!,"27810,43","3000794221211,75",22329508600838,"5217427,1425","271,75",813767415386,62839326688,41121,124902128913,"306802675073,75",284352730184,54,"99061959190,5","98493220260,25","830919012919,5","209051170464,5","12956568855,25","114698057165,25","109537155629,25",1307494,1307494,#VALOR!,"22335,2825",0,#VALOR!
Variância,#DIV/0!,"3201,22408888882","1,16122938199898E+019","9,02809658499841E+019","4934663,82206827","90,9","1,22503417214616E+018",7193727190469388,"854463640,455556",2776551778749686,"2,45306929759679E+017","6,62510361825281E+016","460,266666666667","5,82107850615261E+017","2,51960536636502E+017","1,46516698503344E+018","5,11283331225595E+016",8149000329630910,"2,19251844878744E+016","3,18230419233689E+016","2968376205,33333","2968376205,33333",#DIV/0!,"3027,98129444448",0,#DIV/0!
Desvio padrão,#DIV/0!,"56,5793609798557","3407681590,17092","9501629641,80272","2221,41032276081","9,53414914924242","1106812618,35333","84815842,803508","29231,2100409059","52692995,5378292","495284695,664705","257392766,375685","21,453826387539","762959927,266997","501956707,930577","1210440822,60697","226115751,602049","90271813,5944488","148071551,919585","178390139,64726","54482,8065111677","54482,8065111677",#DIV/0!,"55,0270960022831",0,#DIV/0!
Curtose,#DIV/0!,"-0,942880869054839","-0,905079698837248","2,99393656371693","2,68149264620155","0,014457205582258","-1,79292902045848","0,278465820683904","7,04501277665742","2,59982429984043","1,94488195818306","1,09808310498955","3,86056040770455","-1,34345626762421","0,954000564271972","-1,31154817600609","-0,491444501323177","-1,70269713335713","-0,295944804470847","-1,80205599385281","1,4341419953094","1,4341419953094",#DIV/0!,"-0,758521361618932",#DIV/0!,#DIV/0!
Inclinação,#DIV/0!,"0,128009796451549","0,087235468286317","-0,85181831650849","-0,883229055700069","0,481026173642306","0,273200074205014","0,254106864122697","2,55143199377993","-0,860526764479283","-1,37371712201589","0,046897109841591","1,93241545489282","0,576416307877111","0,922455934026353","-0,255891334032784","-0,113471413642526","0,364181776449909","-0,212606709123745","0,00136562043173","-1,21235098893856","-1,21235098893856",#DIV/0!,"0,256982777186305",Erro:502,#DIV/0!
Intervalo,0,"177,779999999999",10850056290,37495789471,"8629,27000000049",32,2846318033,295811163,94565,204235671,1628783341,921015926,72,1960446755,1759262205,3584074429,713608584,247712073,471483353,457576886,188588,188588,0,"175,880000000001",0,0
Mínimo,0,"27689,45",2993167745304,22305125743259,"5211721,59",253,811277724663,62649500652,20130,124767702950,305470661081,283861737116,35,97563162023,97591952145,828101533320,208455389689,12767437644,114343257297,109126618234,1161374,1161374,0,"22217,61",0,0
Máximo,0,"27867,23",3004017801594,22342621532730,"5220350,86",285,814124042696,62945311815,114695,124971938621,307099444422,284782753042,107,99523608778,99351214350,831685607749,209168998273,13015149717,114814740650,109584195120,1349962,1349962,0,"22393,49",0,0
Soma,0,"277720,8",29985422259181,223262573680608,"52166229,57",2667,8126552616337,627957096083,363257,1248836392559,3065723789945,2842887632067,546,984001827318,983309128253,8299857809650,2088562395474,128744681634,1146088914451,1093629120935,12793840,12793840,0,"222979,05",0,0
Contagem,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0
