,power/energy-pkg/,power/energy-pkg/,instructions,cycles,cpu-clock,cpu-migrations,branches,branch-misses,context-switches,bus-cycles,cache-references,cache-misses,mem-loads,mem-stores,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,power/energy-pkg/,power/energy-cores/,power/energy-gpu/,runtime
,"///33108,59","33108,59",11118885758503,26178109932189,"6120558,7",257,1952124902995,187853617308,27242,146445380275,327881167932,255384306881,27,1921463503126,1920925389983,2482919474358,231878754968,2918054831,133333617219,111824983524,641993,641993,"///33108,59","26699,64",0,9:01.50
,"///33225,55","33225,55",11129930675516,26194605449537,"6125176,43",240,1953407847616,187528848627,41179,146559594809,327780140821,256487849868,23,1921355829811,1921894754575,2482648746996,231133421669,2935693856,132526463718,111624706905,681835,681835,"///33225,55","26806,8",0,9:02.28
,"///33133,41","33133,41",11133192201065,26177044181577,"6120134,11",207,1953955549338,187596085420,23849,146437861867,331647785914,255741047685,19,1919414963006,1918848726775,2482402144854,236084561565,2940968475,135511263025,111729752304,685900,685900,"///33133,41","26717,27",0,9:02.10
,"///33124,21","33124,21",11116805436561,26200395925356,"6125797,62",239,1951104055864,187271324897,42757,146575278426,331976457747,256701180002,15,1922739642177,1922676799760,2485735382084,235288950359,2941835086,135237211490,111827060979,638580,638580,"///33124,21","26705,06",0,9:02.36
,"///33086,81","33086,81",11133333799171,26178996332959,"6121257,83",230,1953746579958,187581353462,23254,146458292599,328535630132,255608922672,15,1922087480520,1921394191554,2481828476103,232765441714,2940365996,133784773856,112019498723,668927,668927,"///33086,81","26674,12",0,9:01.79
,"///33065,37","33065,37",11126270273293,26161961391573,"6116998,92",233,1953358760769,187637800757,42805,146363054828,330502837032,255611774336,27,1919242668288,1919342974807,2481868959307,234975422428,2912384595,134502822274,111635620887,690497,690497,"///33065,37","26652,41",0,9:01.89
,"///33251,48","33251,48",11139578664158,26293637813637,"6147481,56",223,1953858673589,187151353485,24280,147091080348,332168295887,258441397752,23,1918398912242,1920205224747,2482397732684,233884510645,2906233710,133858523492,111598291528,610705,610705,"///33251,48","26803,73",0,9:04.84
,"///33076,95","33076,95",11142960208815,26186600904253,"6122807,48",249,1953987464662,187596280154,23934,146498523901,329537627002,256252117384,27,1921114414566,1920743013774,2482239799097,232953843329,2932021293,133756462913,111639971412,683313,683313,"///33076,95","26658,39",0,9:02.40
,"///33002,48","33002,48",11132723421601,26153770142872,"6115409,91",234,1953279235192,187346824280,24162,146318657578,329011338769,255012000653,19,1920933266505,1921371920738,2482368589240,233753125099,2913643737,134012387964,111558813905,668565,668565,"///33002,48","26592,31",0,9:01.67
,"///32992,55","32992,55",11136547310189,26141180826401,"6112266,18",248,1954501710555,187515303466,42111,146249379317,329462705637,255419249312,31,1920147221680,1919476717114,2482565552669,234096077878,2939319103,134423128954,111382963066,683674,683674,"///32992,55","26586,81",0,9:01.27
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26
Média,#DIV/0!,"33106,74","11131022774887,2","26186630290035,4","6122788,874",236,"1953332478053,8","187507879185,6","31557,3","146499710394,8","329850398687,3","256065984654,5","22,6","1920689790192,1","1920687971382,7","2482697485739,2","233681410965,4","2928052068,2","134094665490,5","111684166323,3","665398,9","665398,9",#DIV/0!,"26689,654",0,#DIV/0!
Erro padrão,#DIV/0!,"26,4556285966607","2650753207,32604","13199525116,5341","3050,58714562081","4,51909528802195","317385170,578639","63849652,4799205","2922,42381157224","73153525,8326565","520615645,382408","312219764,723855","1,73333333333333","430750082,181047","384847915,538191","353305609,723624","487194860,074475","4395187,93967723","276848090,248966","55420679,053751","8337,48782767727","8337,48782767727",#DIV/0!,"23,6865711228018",0,#DIV/0!
Modo,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,27,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,#VALOR!,0,#VALOR!
Mediana,#VALOR!,"33097,7",11132957811333,26178553132574,"6120908,265","236,5",1953577213787,"187555101044,5",25761,146451836437,"329500166319,5","255676411010,5",23,"1921023840535,5","1920834201878,5",2482399938769,233818817872,"2933857574,5",133935455728,"111637796149,5",675381,675381,#VALOR!,"26686,88",0,#VALOR!
