,power/energy-pkg/,power/energy-pkg/,instructions,cycles,cpu-clock,cpu-migrations,branches,branch-misses,context-switches,bus-cycles,cache-references,cache-misses,mem-loads,mem-stores,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,power/energy-pkg/,power/energy-cores/,power/energy-gpu/,runtime
,"///46270,42","46270,42",20926164057379,34518841659833,"8267489,5",674,3538320845159,318233502997,49976,197790880949,460065272663,329980405940,83,3569424436258,3570667896543,4997405435551,249463556808,2661124109,136294365224,99883197088,2699323,2699323,"///46270,42","37920,94",0,12:05.71
,"///46436,62","46436,62",20944511309534,34577583332270,"8286218,8",385,3541569919374,318642421346,77444,198242912423,468516959098,329664434556,67,3566373297497,3564836267287,4992314513035,258672912790,2742240616,139636967400,99273281815,2662943,2662943,"///46436,62","38059,23",0,12:08.53
,"///46474,60","46474,6",20914116138863,34667618180394,"8299514,9",422,3538514444135,318408450488,48961,198552788910,473486719778,329379020787,139,3569181059767,3567257132152,4994598974476,261282454820,2654379770,141555302740,99991875830,2799758,2799758,"///46474,60","38071,9",0,12:10.99
,"///46493,05","46493,05",20947081106655,34678742549906,"8295957,36",424,3542414989261,318467372457,49028,198478429112,473392905368,330355648294,59,3568097744400,3569317178243,4996161337388,259640407335,2684506052,140539012115,99270940448,2689824,2689824,"///46493,05","38094,75",0,12:10.58
,"///45942,00",45942,20952256712086,34267511487964,"8204320,07",396,3542190653308,319035944735,49338,196274058381,434182269199,330102885706,43,3566348771329,3566582675873,4996449279342,228381793031,2667259078,125916727911,99716311025,2703034,2703034,"///45942,00","37641,66",0,12:00.87
,"///46405,08","46405,08",20946398592894,34636693961056,"8293505,22",436,3540785833536,318223682884,66798,198413288044,469017598233,329569299287,51,3569326083936,3565518982405,4993879931548,259822013712,2645855803,139371866518,99292195114,2757327,2757327,"///46405,08","38022,26",0,12:09.17
,"///46514,73","46514,73",20928382033671,34709976392936,"8304331,59",410,3540313852028,318368094338,48728,198678984109,475784650043,329857316081,147,3570249781993,3570450704303,4996523890533,262156540777,2664800191,142257949476,99565962731,2706680,2706680,"///46514,73","38107,89",0,12:11.43
,"///45873,18","45873,18",20943674652910,34220896860840,"8185957,82",412,3539390853180,317993273248,48164,195841638053,429901566426,330984402532,71,3573856566317,3576214805402,4999740242332,223676080103,2630724122,123203750273,99549681613,2620699,2620699,"///45873,18","37573,84",0,12:00.76
,"///46542,54","46542,54",20905290253889,34755607739124,"8307045,32",415,3538661878308,318721481828,47427,198746388327,476897116247,330409366053,43,3566310875580,3568792977004,4999278005289,263767488382,2610346225,142976659944,100350890359,2722456,2722456,"///46542,54","38134,57",0,12:11.47
,"///46458,97","46458,97",20912945109678,34716109750395,"8300600,08",446,3538564351264,318619286583,48933,198585485925,475962675722,330142267169,47,3569032825341,3570639319544,4996822617421,262385859830,2631467654,142533272469,100136623587,2668778,2668778,"///46458,97","38079,11",0,12:08.87
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26
Média,#DIV/0!,"46341,119","20932081996755,9","34574958191471,8","8274494,066",442,"3540072761955,3","318471351090,4","53479,7","197960485423,3","463720773277,7","330044504640,5",75,"3568820144241,8","3569027793875,6","4996317422691,5","252924910758,8",2659270362,137428587407,99703095961,"2703082,2","2703082,2",#DIV/0!,"37970,615",0,#DIV/0!
Erro padrão,#DIV/0!,"76,1557574893574","5355512808,98155","59347860212,5532","13755,4494028886","26,3771786883199","505613272,505485","93902151,3981645","3213,64044538623","329826717,069332","5516264411,70624","148271466,022749","12,0591136582347","723564343,41621","1044020757,80254","722048229,653246","4663915530,5369","11452343,7307144","2240225222,20146","120474443,1042","15790,9382789272","15790,9382789272",#DIV/0!,"63,4029621328707",0,#DIV/0!
